所属年月,商家名称,主营类型,店铺URL,特色菜,累计评论数,累计销售量,店铺评分,本月销量,本月销售额,城市,商家地址,电话
2017-03-01,赤山大酒店（西北门店）,自助餐,http://www.meituan.com/shop/2174079,大虾 烤串 北极甜虾 冷面 烤鸭 蛋挞冰淇淋 贝壳 包子蒸饺 披萨 烤肉串 酸梅汁 小点心 蒸饺 豆沙包,1993,31040,4.5,736.0,66203.4,威海,荣成市石岛管理区海景西路89号,0631-7369999
2017-03-01,初村品尚海鲜自助烤肉火锅,自助餐,http://www.meituan.com/shop/110522926,,,,4.5,6.0,281.58,威海,环翠区初村翠山街2号（国安医院路口，金马韩式洗浴一楼）,18963116302
2017-03-01,铂丽斯国际大酒店凯悦自助餐厅,自助餐,http://www.meituan.com/shop/1461856,菜品 牛排 虾 生鱼片 红烧肉 三文鱼刺身 烤羊排 龙虾 北京烤鸭 西瓜 大酱骨 烤牛舌 烤鸭,10570,4568,4.5,218.0,25791.3,威海,环翠区黄海路19号,0631-5973888
2017-03-01,吃货海鲜自助,自助餐,http://www.meituan.com/shop/83140938,,,,分,0.0,0.0,威海,环翠区泉州路威达嘉园12-2,18763147177
2017-03-01,北方自助烤肉火锅店,自助餐,http://www.meituan.com/shop/76445180,,,189,3.6,0.0,0.0,威海,环翠区初村镇红绿灯西（山海路与凤凰山路交叉口）,13676315801
2017-03-01,抱海大酒店自助餐厅,自助餐,http://www.meituan.com/shop/1200776,牛仔骨 (38元/份)冰激凌 姜汁飞蟹 (38元/份)时令水果 (38元/份)蛋挞 (5元/份)对虾 小海带炖鲜鲍 (48元/份)生鱼片-三文鱼 秘制腌虫比蛴 (28元/份)脆瓜虾仁 (48元/份)野菜蒸包 (5元/份)小海带炖海参 (48元/份)帝王蟹腿 木瓜炖雪蛤 生鱼片,20244,25330,4.6,406.0,61794.9,威海,环翠区海滨中路29号抱海大酒店内,0631-3665777
2017-03-01,宝利嘉美食百汇自助餐厅,自助餐,http://www.meituan.com/shop/4897289,巴西烧烤 木瓜炖雪蛤 肉 大虾 菠萝炒饭 龙舌兰 哦 冰淇淋 法式酥皮汤 水果 三文鱼 米线 铁板牛肉 木瓜 五谷杂粮 薏米汁 蛋挞 铁板鱿鱼 涮锅 火锅烤肉 章鱼小丸子 扇贝 酸辣蕨根粉 大骨头 饺子 黑胡椒牛肉 味道不错 水果沙拉 泡菜 烤牛肉 烤肠 酸奶 鸡腿 木瓜红枣汁 榴莲酥 海星 西瓜 铁板烧牛肉 鸡柳 鸡肉 冷面 墨鱼丸 巧克力鸡尾酒 水果饮料 烤五花肉 烤翅 烤肉 烤蘑菇 烤鱼 烤鱿鱼 生鱼片 米饭 红葡萄酒 翅根 酸辣粉 三文鱼寿司 三文鱼片 炸鸡翅 牛扒 玉米 羊肉丸子 蓝莓山药 贝壳 铁板牛排 铁板虾 铁板鱼 麻辣小龙虾 麻辣烫 黑椒牛柳 巴西烧烤 木瓜炖雪蛤 肉 大虾 菠萝炒饭 龙舌兰 哦 冰淇淋 法式酥皮汤 水果 三文鱼 米线 铁板牛肉 木瓜 更多》,37086,37310,4.5,943.0,43111.7,威海,文登区中心医院对面龙港外滩财富广场二楼（莱德堡东10米）,0631-8080321
2017-03-01,巴西烤肉,自助餐,http://www.meituan.com/shop/4634611,烤牛舌 巴西烤肉 果汁 烤肉 水果沙拉 烤排骨 烤牛肉 冰激凌 火锅 烤虾 1 大螃蟹 蟹钳 寿司 涮羊肉 烤五花肉 烤小鸡腿 烤牛排 烤肥牛 花生 鸡爪 口水鸡 哈密瓜 奶茶 小点心 小烤肠 烤串 烤大虾 烤肉串 烤鱼丸 烤鸡珍 芒果 葡萄酒 蟹脚 烤牛舌 巴西烤肉 果汁 烤肉 水果沙拉 烤排骨 烤牛肉 冰激凌 火锅 烤虾 1 大螃蟹 蟹钳 寿司 更多》,2471,10948,4.4,905.0,39733.7,青岛,胶州市广州南路与徐州西路交界处西（瑞华园5号楼126号）,0532-82277999
2017-03-01,19玖0全日制自助餐厅（威海卫大厦店）,自助餐,http://www.meituan.com/shop/64926508,芝士焗生蚝 生鱼片 大虾 河豚鱼汤 刺身拼盘 羊腿 冰激凌 小蛋糕 手撕牛肉 自制酸奶 芝士牡蛎 鱼生 鲜榨玉米汁 刺身三文鱼 叉烧肉 水煮鱼 烤生蚝 羊棒骨 芒果 西瓜 芝士焗生蚝 生鱼片 大虾 河豚鱼汤 刺身拼盘 羊腿 冰激凌 小蛋糕 手撕牛肉 自制酸奶 芝士牡蛎 鱼生 鲜榨玉米汁 刺身三文鱼 更多》,5805,10779,5.0,400.0,93802.7,威海,环翠区新威路17-3B威高广场二期东泉道会馆北20米,0631-5285711
2017-03-01,佰烧海鲜烧烤自助（利群金鼎广场店）,自助餐,http://www.meituan.com/shop/114525669,,,,4.5,1.0,67.7,青岛,崂山区海尔路金鼎广场6楼,0532-67788881/67788882
2017-03-01,爱上牛排自助餐厅（新苏天美店）,自助餐,http://www.meituan.com/shop/42927733,菜品 黑胡椒牛排 酸奶 水果沙拉 去 蛋塔 榴莲披萨 不错 比萨 黑椒牛柳炒意面 骨肉相连 蛋挞酸奶 饮料 冰淇淋球 黑胡椒牛柳 鸭头 薯条 西瓜 奥尔良鸡排 小牛排 盐酥鸡块 牛排和披萨 小点心 蒸饺 黑椒意面 有机花菜 丸子 烤鱼 哈密瓜 奶茶 火龙果 儿童牛排 各种小蛋糕 烤鸡翅 鸡蛋羹 榴莲比萨 榴莲酥 葡萄干 辣子鸡块 雪糕 小鱼 巧克力 披萨薄饼 有机菜花 果盘 牛扒 米饭 豆浆酸奶 饮料冰淇淋 文鱼 炸鸡块 甜玉米 草莓薄饼 菠萝 豆浆 豆腐 酸奶蛋挞 鸡扒 麻辣鸭头 三明治 冰激凌球 冷饮 咖啡 墨鱼丸子 奥尔良烤翅 木瓜 榴莲酥蛋挞 特色炒饭 盐酥鸡米花 芒果 薄饼披萨 虾 蛋挞豆浆 辣子鸡年糕 酸奶薯条 面包 菜品 黑胡椒牛排 酸奶 水果沙拉 去 蛋塔 榴莲披萨 不错 比萨 黑椒牛柳炒意面 骨肉相连 蛋挞酸奶 饮料 冰淇淋球 更多》,54900,63480,4.5,2587.0,152998.0,菏泽,牡丹区和平路与中山路交叉口西北角（新苏天美一楼，万特数码广场二期对过）,0530-6221188
2017-03-01,爱尚涮锅自助餐,自助餐,http://www.meituan.com/shop/63545171,,,,分,2.0,35.36,青岛,李沧区重庆中路大枣园中南世纪城小区东门,13730989677
2017-03-01,班戟糯米糍,自助餐,http://www.meituan.com/shop/82066291,,,,分,1.0,7.07,德州,乐陵市澳林新天地购物中心一楼理发店对面,17081281876
2017-03-01,阿郎山自助烤肉,自助餐,http://www.meituan.com/shop/6681606,冰激凌 水果 烤肉 自助位餐 (48元/份)烤培根 蛋挞 小蛋糕 涮肉 烤串 烤鸡翅 大螃蟹 涮锅 烤鱼 花蛤 香芋奶茶 乌鸡肉 冰淇淋 冷饮 巴西烤肉 明虾 乌鸡片 合子 寿司 果汁 水果沙拉 水饺 泡芙 狮子头 烤大虾 烤肉串 粽子 芒果 虾子 蛋炒饭 西瓜 冰激凌 水果 烤肉 自助位餐 (48元/份)烤培根 蛋挞 小蛋糕 涮肉 烤串 烤鸡翅 大螃蟹 涮锅 烤鱼 花蛤 更多》,8292,25970,3.5,656.0,26249.8,德州,陵城区临齐街道福星街27号（近菜园）,0534-8818888
2017-03-01,金诺郎韩式自助烤肉,自助餐,http://www.meituan.com/shop/116719182,,178,3374,4.2,85.0,3828.58,德州,乐陵市渤海路与五洲中大道交叉口西北角（孕婴康贝西邻）,18865812288/18853436648
2017-03-01,金丽轩自助烤肉,自助餐,http://www.meituan.com/shop/40777364,蛋挞 培根 自助 烤肉火锅 羊肉 火锅涮菜 薯条 培根卷金针菇 羊蹄子 冰激凌 培根金针菇 好吃的 辣炒花蛤 培根肉 涮肉 烤串 美味 小蛋糕 炖大骨头 大虾 寿司 小螃蟹 西瓜 鱼肉 丸子 冻虾 哈密瓜 羊肉片 肉类 蜂蜜柚子茶 鱼排 麻酱 蛋挞 培根 自助 烤肉火锅 羊肉 火锅涮菜 薯条 培根卷金针菇 羊蹄子 冰激凌 培根金针菇 好吃的 辣炒花蛤 培根肉 更多》,3782,2372,4.8,60.0,2664.13,德州,夏津县建设街华夏B区西门南300米路西（金信大酒店北200米路西）,18866013166
2017-03-01,韩丽轩自助烤肉超市（商业街店）,自助餐,http://www.meituan.com/shop/2180697,培根肉 烤肉串 小糕点 冰激凌 小螃蟹 翅中 铁板鱿鱼 涮肉 甜点和冰淇淋 红烧肉 生菜包肉 小虾 羊肉片 铁板烧 面筋 果汁 热奶茶 披萨 涮羊肉 羊汤 羊肉串 韩国辣酱 麻辣小龙虾 小蛋糕 涮菜 烤培根 烤鸭 猪肉串 橙汁 海星 鲜榨果汁 乌鸡肉 大骨头 桂圆 海蛎子 海贝 海鲜烤肉 烤鱼 肉肉 蒸鸡蛋 西瓜汁 贝壳 酸奶 骨肉相连 培根肉 烤肉串 小糕点 冰激凌 小螃蟹 翅中 铁板鱿鱼 涮肉 甜点和冰淇淋 红烧肉 生菜包肉 小虾 羊肉片 铁板烧 更多》,4090,735,4.0,19.0,745.85,德州,德城区商业街94号B室,0534-2699499
2017-03-01,凤冠假日酒店自助餐,自助餐,http://www.meituan.com/shop/40788683,虾 烤鸭 水果蛋糕 北京烤鸭 小点心 甜点 寿司 杯子蛋糕 打卤面 烤虾 烤鱿鱼 奶酪蛋糕 西瓜 慕斯蛋糕 蛋挞 麻辣烫 冰激凌 扒鸡胸 水果沙拉 烤翅 面条 意大利面 酸奶 香辣蟹 龙利鱼 乌鸡汤 冰淇淋 古老肉 水煮鱼 烤大虾 烧麦 花蛤 西点 骨肉相连 虾 烤鸭 水果蛋糕 北京烤鸭 小点心 甜点 寿司 杯子蛋糕 打卤面 烤虾 烤鱿鱼 奶酪蛋糕 西瓜 慕斯蛋糕 更多》,6210,4485,5.0,113.0,10336.7,德州,德城区东风东路2555号（凤冠假日酒店1楼）,0534-6087777/6086688
2017-03-01,八斗厨火锅海鲜自助（大润发店）,自助餐,http://www.meituan.com/shop/2536979,牛羊肉 虾滑 鸳鸯锅 虾子 果汁 鲜虾 金针菇 涮肉 火龙果 海虾 牛排 红酒雪梨 脑花 冰激凌 沾料 牛肉丸 玉米蒸饺 草莓 1 核桃 羊肉牛肉 骨髓 鱼滑 鸳鸯火锅 麻汁 冰淇淋 爆米花 猪肉卷 生菜 薯条 贝壳 青岛啤酒 基围虾刺身 大虾 大虾子 水晶虾仁 濑尿牛丸 炸鱿鱼圈 烤面包 甜虾 羊肉和牛肉 羊肚 麻酱 牛羊肉 虾滑 鸳鸯锅 虾子 果汁 鲜虾 金针菇 涮肉 火龙果 海虾 牛排 红酒雪梨 脑花 冰激凌 更多》,5364,3895,5.0,99.0,6863.61,日照,东港区兖州路与海曲路交汇处大北300米路西,0633-7891678
2017-03-01,蘭亭汇国际海鲜烤肉自助餐厅,自助餐,http://www.meituan.com/shop/101807046,海鲜 烤肉 冰淇淋 螃蟹 三文鱼刺身 冰激凌 大虾 小蛋糕 巧克力瀑布 鸡尾酒 北京烤鸭 蒜蓉扇贝 西瓜 鲜榨果汁,1612,20779,5.0,2428.0,180629.0,日照,东港区烟台路与淄博路交汇处华润万象汇四楼,0633-2173222/13356230588
2017-03-01,三生客牛排杯,自助餐,http://www.meituan.com/shop/101999808,牛排杯,,460,4.5,0.0,0.0,日照,东港区文湖路文泽园东门南80米路西,13963316307
2017-03-01,日照蓝海国际大饭店蓝钻国际美食自助百汇,自助餐,exceptionhttp://www.meituan.com/shop/5485171,三文鱼 生鱼片 海鲜 自助 西瓜 铁板鱿鱼 小蛋糕 三文鱼寿司 澳门叉烧 碳烤秘制猪五花 木瓜蒸奶 鲜榨西瓜汁 海螺 蜜汁叉烧 意大利面 焗蟹 抹茶饼 肉 鲍汁饭 排骨 龙舌兰日出 鱿鱼 刺身 菠萝咕噜肉 海蛎子 冰淇淋 小糕点 牛排肉 龙利鱼 扇贝生蚝毛蛤青蟹 水果沙拉 饮品 果冻 鲅鱼 小点心 意面 煎牛扒 蟹钳 养生汤 南瓜粥 烤鸡胗 牛头 银耳粥 叉烧肉 榴莲酥 烤串 生蚝扇贝 薯条 铁板牛排 鸡尾酒 黑椒牛肉意大利面 冰激凌 大爱刺身 椰汁西米露 烤牛排 焦糖布丁 牛排鸡排 牛肋条 猪扒 青岛啤酒 三文鱼很好吃 小米粥 小鸡腿 山药 巧克力慕斯 广式脆皮鸭 烤菠萝 烤金针菇 烤鸡心 秘制五花肉 菠萝咕咾肉 雪梨汤 鲜虾 鸡排 黄金鲅鱼 三文鱼特色 冻虾 卤牛头 卤菜 吃的很开心 大龙虾 小螃蟹 慕斯蛋糕 日料 柠檬汁 椒盐皮皮虾 水果披萨 烤鱿鱼烤猪排 烤鸡排 烤鸡翅根 牛角面包 现榨果汁 甜点拼盘 生吃三文鱼片 紫菜包饭 红烧肉 红酒 芒果慕斯 蟹腿 野生大鲅鱼 野生鲅鱼 野生黄金大鲅鱼 长寿面 非常棒 鲜榨橙汁 鸡翅 三文鱼 生鱼片 海鲜 自助 西瓜 铁板鱿鱼 小蛋糕 三文鱼寿司 澳门叉烧 碳烤秘制猪五花 木瓜蒸奶 鲜榨西瓜汁 海螺 蜜汁叉烧 更多》,25803,11111,5.0,281.0,18039.2,日照,东港区万平口景区绿舟南路66号世帆赛基地内,0633-8867066
2017-03-01,木槿花火锅烤肉自助餐厅,自助餐,http://www.meituan.com/shop/5599528,韩式烤肉 麻辣烫 水饺 香芋地瓜丸 鸭头 单人自助午餐 (46元/份)海蛎子 草莓 虾子 鸡米花,4240,9410,4.1,191.0,9211.19,日照,岚山区岚山中路与观海路交汇处银座三楼,0633-2619558
2017-03-01,绿色家园海鲜自助烤肉,自助餐,http://www.meituan.com/shop/6503410,虾 酸奶 五花肉 很好 自助 饮料 冰淇淋 肉类 自助餐 烤虾 午餐自助 (48元/份)大虾 鱿鱼 抹茶蛋糕 烤鸡翅 培根卷生菜 大螃蟹 小点心 调料 小扇贝 西瓜 1 水果沙拉 生菜卷培根 培根肉卷 熟食 味道很好 烤串 烤五花肉 煎鸡蛋 蛋挞 小海鲜 火龙果 烤培根 烤鱿鱼 菠萝西瓜 葡萄酒 关东煮 前菜 培根披萨 小螃蟹 手工水饺 枣糕 水果披萨 沙拉 海蛎子 猪五花 红烧肉风味茄子 肥羊 芒果汁 蔬菜牛肉 鸡柳 鸭头 虾 酸奶 五花肉 很好 自助 饮料 冰淇淋 肉类 自助餐 烤虾 午餐自助 (48元/份)大虾 鱿鱼 抹茶蛋糕 更多》,10854,22100,4.9,558.0,31831.5,日照,东港区黄海二路与海滨四路交汇处（北京烤鸭店）,0633-2227707/13396330400
2017-03-01,领鲜e族自助火锅烧烤城,自助餐,http://www.meituan.com/shop/153636045,,,,分,2.0,92.84,日照,岚山区圣岚东路阳光海岸沿街商铺,0633-6190998
2017-04-01,欧巴味德南美巴西烤肉,自助餐,http://www.meituan.com/shop/86097801,千丝虾 巴西烤肉 水果 黑椒小牛排 烤羊排 小龙虾 粉丝扇贝 扇贝 蛋挞 酸奶 大虾 烤肉 烤鸡翅 螃蟹腿 鲜榨果汁 黑啤 披萨 牛排 北京烤鸭 法式牛排 烤菠萝 冷饮芒果饮料 凉菜 海参 烤羊腿 自助热菜 蛋糕 德国黑啤 海鲜 蜜汁烤肉 扎啤 海参刺身 烤玉米 烤翅 牛舌 羊排 薯条 冰淇淋 千丝万缕虾 巧克力 布丁 炸鱼 烤扇贝 烤牛舌 烤豆腐 牛羊肉 甜点 翅中 自酿啤酒 菠萝 蜜汁肉 西瓜汁 香蕉 鸡翅 千丝虾 巴西烤肉 水果 黑椒小牛排 烤羊排 小龙虾 粉丝扇贝 扇贝 蛋挞 酸奶 大虾 烤肉 烤鸡翅 螃蟹腿 更多》,1447,21071,4.3,1051.0,60980.8,枣庄,滕州市大同路银座西馆对面滕州民族大厦1楼,0632-5816688
2017-04-01,金釜轩烤肉美食中心,自助餐,http://www.meituan.com/shop/41754654,培根 酸奶 鸡翅 烤肉火锅 不错 面 火锅 很好 饮料 鸳鸯火锅 水果蛋糕 特色牛排 虾 牛羊肉 西瓜 鸡尾酒 烤羊肉串 鱿鱼圈 真的很好吃 烧烤串 小蛋糕 冰激凌酸奶 拌饭 种类很多 羊肉片 自制酸奶 蘸酱 很好吃 铁板烧 鲜虾 味道赞 培根包金针菇 小糕点 火龙果香蕉 铁板鱿鱼 樱桃 汤 鱼 奶油蛋糕 木瓜火龙果 烤肉串 煎肉 蛋挞 鸡排 冻虾 海蛎子 甜筒 骨肉相连 中翅 丸子 巴西烤肉 布丁 牛扒 甜不辣 葡萄酒 薯条 虾很大 蟹腿 龙虾和螃蟹 咖啡 哈密瓜 巧克力 意大利面 炸鸡排 烤鱿鱼 煎饼 羊肉卷 羊蹄子 草莓 银耳羹 雪糕 大螃蟹腿 烤肠 烤鱿鱼鸡排 玉米 花甲 萝卜汤 豆腐干 锅包肉 韩式辣酱 麻辣小龙虾 培根 酸奶 鸡翅 烤肉火锅 不错 面 火锅 很好 饮料 鸳鸯火锅 水果蛋糕 特色牛排 虾 牛羊肉 更多》,51875,75115,4.7,1489.0,83490.1,枣庄,"滕州市荆河路步行街南首,海澜之家三楼",0632-5825288
2017-04-01,滨江国际大酒店,自助餐,http://www.meituan.com/shop/2513429,牛排 小蛋糕 小点心 夏威夷披萨 (58元/份)牛羊肉 粉丝 茄汁意大利面 (38元/份)蛋挞 豆腐 酱骨头 马卡龙,5625,,5.0,6.0,1638.79,枣庄,滕州市解放东路169号,0632-5236666
2017-04-01,好色自助涮烤吧,自助餐,http://www.meituan.com/shop/114572160,酸奶,240,3033,4.8,60.0,3232.5,枣庄,市中区文化东路东方庄园旁边,0632-3119888
2017-04-01,1818牛排自助餐,自助餐,http://www.meituan.com/shop/101928276,火锅 羊肉 蛋糕 酸奶,1600,1428,4.6,149.0,10141.0,枣庄,市中区三角花园1818美食广场三楼,0632-3456777
2017-04-01,爱上牛排自助餐厅,自助餐,http://www.meituan.com/shop/41817645,牛排 香草牛排 意面 好吃 其他 热狗 烤牛排 蛋挞披萨 酸奶 我家牛排 酸奶水果沙拉 鸡排 蒸饺 黑胡椒牛排 蛋塔 鸡米花 西瓜 抹茶冰淇淋 儿童牛排 玉米芝士披萨 炸鸡腿 川香牛排 美味 鸡翅 烤肠 火龙果 凉面 榴莲披萨 烤翅 蛋挞水果沙拉 辣炒年糕 黄桃罐头 千叶豆腐 奥尔良鸡排 炸鸡 葡萄 中餐 奶茶 菜品丰富 菲力牛扒 蔬菜沙拉 T骨牛排 奥尔良烤翅 小饼干 披萨好吃 沙朗牛排 海鲜疙瘩汤 牛扒 甜品 蟹脚 辣子鸡 雪花牛排 三明治 哈密瓜 培根披萨 奶油浓汤 奶油蘑菇汤 小点心 小蛋糕 巧克力草莓薄饼 意粉 慕斯 披萨寿司 披萨饼 招牌牛排 橙汁 比萨 水晶包 水果冰淇淋 海蛎子 炒意大利面 烤鱼 热菜 煎三文鱼 玉米披萨 皮蛋粥 羊排 菲力牛排 蓝莓汁 蛋花汤 蟹腿 鸭翅 牛排 香草牛排 意面 好吃 其他 热狗 烤牛排 蛋挞披萨 酸奶 我家牛排 酸奶水果沙拉 鸡排 蒸饺 黑胡椒牛排 更多》,50870,61823,5.0,284.0,16914.6,枣庄,滕州市荆河路与大同路交叉口东南角问天广场2楼,0632-8018181
2017-03-01,御尚源休闲自助餐厅,自助餐,http://www.meituan.com/shop/118754291,海鲜 水果 烤肉 面食,784,12103,5.0,2702.0,113580.0,枣庄,薛城区永福路与永兴路路口区政府斜对面路西（红绿灯向南28米路西，电梯直达三楼）,0632-5193666
2017-03-01,嗨天下海鲜烤涮自助餐厅,自助餐,http://www.meituan.com/shop/115258141,海鲜 披萨,474,7964,5.0,1695.0,105530.0,枣庄,市中区解放路三角花园中央广场四楼,0632-8801567
2017-03-01,英伦风尚牛排海鲜火锅自助餐厅,自助餐,http://www.meituan.com/shop/51197086,黑椒牛排肉 海鲜火锅 黑椒牛排自助餐 (68元/份)牛排肉 冰淇淋 小点心 盐水虾 小蛋糕 大龙虾 水果沙拉 麻辣烫 鸡尾酒 北京烤鸭 烤串 蛋挞披萨 披萨饼 牛排很嫩 三文鱼片 意大利面 生鱼片 荷包蛋 果木炭烤胛肉牛排自助餐 (68元/份)海参捞饭 现榨果汁 冰激凌 培根金针菇 我家牛排 炒蛤蜊 酱排骨 黑胡椒牛排 龙虾 T骨牛排自助餐 (78元/份)时蔬 水果披萨 水果饮料 烤猪蹄 牛排套餐 紫薯汁 羊肉串 羊腿 蘑菇酱 酸奶 雪花牛排 乌鸡汤 哈密瓜 小糕点 排骨汤 涮菜 烤鸭卷 胡萝卜汁 黑椒牛排肉 海鲜火锅 黑椒牛排自助餐 (68元/份)牛排肉 冰淇淋 小点心 盐水虾 小蛋糕 大龙虾 水果沙拉 麻辣烫 鸡尾酒 北京烤鸭 烤串 更多》,7896,25982,5.0,867.0,49944.7,枣庄,滕州市解放路中央城B区西门北首商业楼二楼,0632-5811199
