SEQ,国家,省份,城市,处于商圈,是否为客栈,酒店星级,业务部门,剩余房间,图片数,酒店评分,用户点评数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销拒单率,拒单率是否小于等于直销城市均值,最低房间价格
changsha_10197,中国,湖南,长沙,,0,二星及其他,低星,9,0,3.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,277
changsha_10196,中国,湖南,长沙,长沙站,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,144
changsha_10193,中国,湖南,长沙,,0,二星及其他,低星,12,0,4.2500000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,278
changsha_10194,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,4.3546400070,627,41.4099009901,85,120,40,56,71,103,36,51,0,0,0.0335057485981,1,198
changsha_10192,中国,湖南,长沙,,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,324
changsha_10191,中国,湖南,长沙,,0,二星及其他,低星,40,0,3.8114800453,51,41.4099009901,4,4,3,3,4,4,3,3,0,0,0.0335057485981,1,356
changsha_10190,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,113
changsha_10189,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,183
changsha_10188,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,240
changsha_10187,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,454
changsha_10186,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,4.9523801804,3,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,485
changsha_10185,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,205
changsha_10184,中国,湖南,长沙,长沙站,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,463
changsha_10404,中国,湖南,长沙,雨花亭商圈,0,二星及其他,低星,15,0,2.0000000000,2,41.4099009901,4,5,0,0,0,0,0,0,0,,0.0335057485981,0,285
changsha_10403,中国,湖南,长沙,梅溪湖,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,105
changsha_10402,中国,湖南,长沙,红星商圈,0,二星及其他,低星,21,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,354
changsha_10607,中国,湖南,长沙,梅溪湖,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,326
changsha_10606,中国,湖南,长沙,望城商圈,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,434
changsha_10605,中国,湖南,长沙,,0,二星及其他,低星,9,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,137
changsha_10604,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,11,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,126
changsha_10602,中国,湖南,长沙,,0,二星及其他,低星,20,0,,0,41.4099009901,1,1,0,0,1,1,0,0,0,0,0.0335057485981,1,467
changsha_10601,中国,湖南,长沙,,0,二星及其他,低星,11,0,5.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,235
changsha_10600,中国,湖南,长沙,五一广场,0,二星及其他,低星,19,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,176
changsha_10599,中国,湖南,长沙,五一广场,0,二星及其他,低星,13,0,4.9090900421,20,41.4099009901,4,4,3,3,4,4,3,3,1,0.25,0.0335057485981,0,364
changsha_10598,中国,湖南,长沙,开福寺商圈,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,346
changsha_10597,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,16,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,410
changsha_10596,中国,湖南,长沙,,0,二星及其他,低星,6,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,206
changsha_10595,中国,湖南,长沙,红星商圈,0,二星及其他,低星,60,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,356
changsha_10594,中国,湖南,长沙,开福寺商圈,0,二星及其他,低星,27,0,2.0632901192,8,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,126
changsha_10593,中国,湖南,长沙,红星商圈,0,二星及其他,低星,22,0,,0,41.4099009901,1,1,0,0,1,1,0,0,1,1,0.0335057485981,0,459
changsha_10591,中国,湖南,长沙,泉塘,0,二星及其他,低星,20,0,1.0000000000,1,41.4099009901,1,1,1,1,1,1,1,1,0,0,0.0335057485981,1,169
changsha_10401,中国,湖南,长沙,,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,186
changsha_10660,中国,湖南,长沙,红星商圈,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,109
changsha_10659,中国,湖南,长沙,,0,二星及其他,低星,12,0,3.2500000000,4,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,137
changsha_10661,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,9,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,465
changsha_10660,中国,湖南,长沙,红星商圈,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,355
changsha_10658,中国,湖南,长沙,,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,227
changsha_10657,中国,湖南,长沙,东塘商圈 雨花亭商圈,0,二星及其他,低星,20,0,3.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,133
changsha_10656,中国,湖南,长沙,,0,二星及其他,低星,20,0,3.0399999618,5,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,250
changsha_10655,中国,湖南,长沙,红星商圈,0,二星及其他,低星,15,0,5.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,121
changsha_10654,中国,湖南,长沙,,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,134
changsha_10653,中国,湖南,长沙,红星商圈,0,二星及其他,低星,26,0,3.2175099850,40,41.4099009901,5,5,2,2,5,5,2,2,2,0.4,0.0335057485981,0,176
changsha_10652,中国,湖南,长沙,东塘商圈,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,338
changsha_10651,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,19,0,5.0000000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,489
changsha_10650,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,447
changsha_10649,中国,湖南,长沙,东塘商圈,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,445
changsha_10647,中国,湖南,长沙,东塘商圈 雨花亭商圈,0,二星及其他,低星,0,0,,0,41.4099009901,1,2,0,0,1,2,0,0,1,1,0.0335057485981,0,337
changsha_10646,中国,湖南,长沙,雨花亭商圈 东塘商圈,0,二星及其他,低星,0,0,,0,41.4099009901,2,2,2,2,2,2,2,2,0,0,0.0335057485981,1,162
changsha_10645,中国,湖南,长沙,红星商圈,0,二星及其他,低星,9,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,128
changsha_10669,中国,湖南,长沙,梅溪湖,0,二星及其他,低星,16,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,211
changsha_10668,中国,湖南,长沙,,0,二星及其他,低星,10,0,3.0000000000,1,41.4099009901,1,1,0,0,1,1,0,0,0,0,0.0335057485981,1,243
changsha_10667,中国,湖南,长沙,,0,二星及其他,低星,18,0,4.9230799675,2,41.4099009901,3,3,0,0,0,0,0,0,0,,0.0335057485981,0,478
changsha_10666,中国,湖南,长沙,红星商圈,0,二星及其他,低星,20,0,4.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,282
changsha_10665,中国,湖南,长沙,湖南广电中心,0,二星及其他,低星,7,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,311
changsha_10663,中国,湖南,长沙,红星商圈,0,二星及其他,低星,8,0,5.0000000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,261
changsha_10662,中国,湖南,长沙,长沙站,0,二星及其他,低星,17,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,243
changsha_10661,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,9,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,228
changsha_10660,中国,湖南,长沙,红星商圈,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,356
changsha_10659,中国,湖南,长沙,,0,二星及其他,低星,12,0,3.2500000000,4,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,226
changsha_10658,中国,湖南,长沙,,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,428
changsha_10657,中国,湖南,长沙,东塘商圈 雨花亭商圈,0,二星及其他,低星,20,0,3.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,121
changsha_10656,中国,湖南,长沙,,0,二星及其他,低星,20,0,3.0399999618,5,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,243
changsha_10655,中国,湖南,长沙,红星商圈,0,二星及其他,低星,15,0,5.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,332
changsha_10654,中国,湖南,长沙,,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,371
changsha_10659,中国,湖南,长沙,,0,二星及其他,低星,12,0,3.2500000000,4,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,367
changsha_10658,中国,湖南,长沙,,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,279
changsha_10657,中国,湖南,长沙,东塘商圈 雨花亭商圈,0,二星及其他,低星,20,0,3.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,495
changsha_10656,中国,湖南,长沙,,0,二星及其他,低星,20,0,3.0399999618,5,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,437
changsha_10655,中国,湖南,长沙,红星商圈,0,二星及其他,低星,15,0,5.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,154
changsha_10654,中国,湖南,长沙,,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,323
changsha_10653,中国,湖南,长沙,红星商圈,0,二星及其他,低星,26,0,3.2175099850,40,41.4099009901,5,5,2,2,5,5,2,2,2,0.4,0.0335057485981,0,412
changsha_10652,中国,湖南,长沙,东塘商圈,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,260
changsha_10651,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,19,0,5.0000000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,283
changsha_10650,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,181
changsha_10649,中国,湖南,长沙,东塘商圈,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,311
changsha_10647,中国,湖南,长沙,东塘商圈 雨花亭商圈,0,二星及其他,低星,0,0,,0,41.4099009901,1,2,0,0,1,2,0,0,1,1,0.0335057485981,0,192
changsha_10646,中国,湖南,长沙,雨花亭商圈 东塘商圈,0,二星及其他,低星,0,0,,0,41.4099009901,2,2,2,2,2,2,2,2,0,0,0.0335057485981,1,389
changsha_10400,中国,湖南,长沙,长沙站,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,232
changsha_10399,中国,湖南,长沙,岳麓山景区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,251
changsha_10398,中国,湖南,长沙,岳麓山景区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,197
changsha_10397,中国,湖南,长沙,,0,二星及其他,低星,55,0,4.0135598183,40,41.4099009901,48,55,38,41,46,53,36,39,2,0.0434782608696,0.0335057485981,0,210
changsha_10396,中国,湖南,长沙,,0,二星及其他,低星,18,0,3.0645198822,4,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,363
changsha_10394,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,17,0,4.3179898262,6,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,272
changsha_10393,中国,湖南,长沙,红星商圈,0,二星及其他,低星,24,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,225
changsha_10391,中国,湖南,长沙,开福寺商圈,0,二星及其他,低星,14,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,185
changsha_10390,中国,湖南,长沙,,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,453
changsha_10388,中国,湖南,长沙,红星商圈,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,282
changsha_10387,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,184
changsha_10183,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,26,0,4.8780498505,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,367
changsha_10182,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,157
changsha_10181,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,251
changsha_10179,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,310
changsha_10180,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,485
changsha_10178,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,20,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,163
changsha_10177,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,428
changsha_10176,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,417
changsha_10175,中国,湖南,长沙,,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,165
changsha_10174,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,180
changsha_10173,中国,湖南,长沙,长沙站,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,398
changsha_10172,中国,湖南,长沙,长沙站,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,211
changsha_10171,中国,湖南,长沙,长沙站,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,496
changsha_10170,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,11,0,4.0909099579,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,497
changsha_10169,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,261
changsha_10168,中国,湖南,长沙,,0,二星及其他,低星,28,0,4.7857098579,3,41.4099009901,31,43,23,29,30,42,22,28,1,0.0333333333333,0.0335057485981,1,449
changsha_10167,中国,湖南,长沙,五一广场,0,二星及其他,低星,19,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,463
changsha_10180,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,188
changsha_10179,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,356
changsha_10178,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,20,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,278
changsha_10177,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,133
changsha_10176,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,208
changsha_10175,中国,湖南,长沙,,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,299
changsha_10174,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,114
changsha_10173,中国,湖南,长沙,长沙站,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,446
changsha_10172,中国,湖南,长沙,长沙站,0,二星及其他,低星,8,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,327
changsha_10171,中国,湖南,长沙,长沙站,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,472
changsha_10170,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,11,0,4.0909099579,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,343
changsha_10169,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,236
changsha_10168,中国,湖南,长沙,,0,二星及其他,低星,28,0,4.7857098579,3,41.4099009901,31,43,23,29,30,42,22,28,1,0.0333333333333,0.0335057485981,1,405
changsha_10167,中国,湖南,长沙,五一广场,0,二星及其他,低星,19,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,267
changsha_10166,中国,湖南,长沙,五一广场,0,二星及其他,低星,25,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,462
changsha_10194,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,4.3546400070,627,41.4099009901,85,120,40,56,71,103,36,51,0,0,0.0335057485981,1,156
changsha_10193,中国,湖南,长沙,,0,二星及其他,低星,12,0,4.2500000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,222
changsha_10192,中国,湖南,长沙,,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,314
changsha_10191,中国,湖南,长沙,,0,二星及其他,低星,40,0,3.8114800453,51,41.4099009901,4,4,3,3,4,4,3,3,0,0,0.0335057485981,1,187
changsha_10190,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,415
changsha_10189,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,153
changsha_10188,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,293
changsha_10187,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,405
changsha_10186,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,4.9523801804,3,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,194
changsha_10185,中国,湖南,长沙,长沙站,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,119
changsha_10184,中国,湖南,长沙,长沙站,0,二星及其他,低星,12,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,397
changsha_10196,中国,湖南,长沙,长沙站,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,290
changsha_10194,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,4.3546400070,627,41.4099009901,85,120,40,56,71,103,36,51,0,0,0.0335057485981,1,304
changsha_10193,中国,湖南,长沙,,0,二星及其他,低星,12,0,4.2500000000,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,425
changsha_10192,中国,湖南,长沙,,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,254
changsha_10191,中国,湖南,长沙,,0,二星及其他,低星,40,0,3.8114800453,51,41.4099009901,4,4,3,3,4,4,3,3,0,0,0.0335057485981,1,417
changsha_10190,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,251
changsha_10189,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,102
changsha_10188,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,398
changsha_10187,中国,湖南,长沙,市政府、麓谷高新区,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,102
